Region,Label,FHG_10kbp,FHG_8kbp,FHG_6kbp,FHG_4kbp,FHG_3kbp,FHG_2kbp,FHG_1kbp,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAG_10kbp,EXAG_8kbp,EXAG_6kbp,EXAG_4kbp,EXAG_3kbp,EXAG_2kbp,EXAG_1kbp,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10kbp,INAG_8kbp,INAG_6kbp,INAG_4kbp,INAG_3kbp,INAG_2kbp,INAG_1kbp,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10kbp,PAS_8kbp,PAS_6kbp,PAS_4kbp,PAS_3kbp,PAS_2kbp,PAS_1kbp,PAS_1500CE,PAS_1750CE,PAS_1850CE
62,Eastern Iran,Widespread,Widespread,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Widespread,Widespread,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
63,Arabia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Common,Common,Common,Common,Common,Common,Common,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
64,"Yemen, Oman, and the UAE",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Widespread,Common,Minimal,Minimal,Common,Minimal,Common,None,None,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Minimal,Widespread,Widespread,Widespread,Common,Common,Common,Widespread,Widespread
65,Morocco,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Minimal,None,Minimal,Common,Common,Minimal,Common,Common,Common,Common,Common,None,None,Minimal,Common,Minimal,Common,Common,Common,Common,Widespread,None,None,Common,Widespread,Common,Common,Common,Common,Common,Widespread
66,Northern Algeria,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Common,Common,Widespread,Common,Common,Common,Common,Minimal,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
67,Tunisia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Common,Common,Widespread,Common,Common,Common,Common,None,None,Minimal,Minimal,Common,Widespread,Common,Common,Common,Common,Minimal,Common,Common,Widespread,Widespread,Common,Widespread,Widespread,Widespread,Common
68,Southern Algeria,Widespread,Widespread,Common,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Widespread,Widespread,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Widespread,Widespread,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
69,Northwestern Libya,Widespread,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
70,Southern Libya,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Common,Common,Common,Common,Widespread,Widespread,Widespread,None,None,Minimal,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
71,Northeastern Libya,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
