Region,Label,FHG_10KBP,FHG_8KBP,FHG_6KBP,FHG_4KBP,FHG_3KBP,FHG_2KBP,FHG_1KBP,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAGR_10KBP,EXAGR_8KBP,EXAGR_6KBP,EXAGR_4KBP,EXAGR_3KBP,EXAG_2KBP,EXAG_1KBP,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10KBP,INAG_8KBP,INAG_6KBP,INAG_4KBP,INAG_3KBP,INAG_2KBP,INAG_1KBP,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10KBP,PAS_8KBP,PAS_6KBP,PAS_4KBP,PAS_3KBP,PAS_2KBP,PAS_1KBP,PAS_1500CE,PAS_1750CE,PAS_1850CE
34,Southern Andes Mountains,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,Common,None,None,Minimal,Minimal,Common,Common,Widespread,Widespread,Common,Widespread,None,None,None,None,Minimal,Common,Common,Common,Common,Widespread,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread
35,Pamapas,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,None,Common,Common,None,None,None,None,None,None,None,Minimal,Common,Common
36,Patagonia,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,None,None,Minimal,Minimal,Common,None,None,None,None,None,Minimal,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,Minimal,Common,Common
37,Iceland,None,None,None,None,None,None,Common,Widespread,Common,Common,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,None,None,None,Widespread,Widespread,Widespread,Widespread
38,United Kingdom and Ireland,Widespread,Widespread,Common,Common,Common,Common,Common,Common,Common,Common,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
39,Scandinavia,Minimal,Widespread,Widespread,Common,Common,Common,Common,Common,Common,Common,None,None,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Common,Widespread,Widespread,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
40,"Finland, Estonia, Latvia, and Lithuania",Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,None,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread
41,Spain and Portugal,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
42,France,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Common,Common,Common,Common,Common,Common,Common,Common,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
43,Central Europe,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Minimal,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
