Region,Label,FHG_10kbp,FHG_8kbp,FHG_6kbp,FHG_4kbp,FHG_3kbp,FHG_2kbp,FHG_1kbp,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAG_10kbp,EXAG_8kbp,EXAG_6kbp,EXAG_4kbp,EXAG_3kbp,EXAG_2kbp,EXAG_1kbp,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10kbp,INAG_8kbp,INAG_6kbp,INAG_4kbp,INAG_3kbp,INAG_2kbp,INAG_1kbp,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10kbp,PAS_8kbp,PAS_6kbp,PAS_4kbp,PAS_3kbp,PAS_2kbp,PAS_1kbp,PAS_1500CE,PAS_1750CE,PAS_1850CE
77,"Guinea, Sierra Leone, Liberia, and Côte d'Ivoire",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Widespread,Common,Minimal,Common,Common,None,None,None,None,None,None,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None
78,Burkina Faso,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,None,None,None,Minimal,Common,Widespread,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,None,None,None,Common,Common,Widespread,Widespread,Widespread
79,"Ghana, Togo, and Benin",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Widespread,None,None,None,None,None,Minimal,Common,Common,Common,Common
80,Niger,Widespread,Widespread,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Common,Common,None,None,None,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Minimal,None,None,Minimal,Common,Common,Widespread,Widespread,Common,Common,Common
81,Nigeria,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,Common,Widespread,Common,Common,Common,Common,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,Common,Common,Common,Common,Common,Common
82,Chad and Central African Republic,Widespread,Widespread,Widespread,Common,Minimal,Minimal,None,Minimal,Minimal,Minimal,None,None,None,None,None,Common,Widespread,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread
83,"Cameroon, Equatorial Guinea, Gabon, and Republic of the Congo",Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common,None,None,None,None,None,None,Minimal,Common,Common,Common,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Common
84,Democratic Republic of the Congo,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Common,Common,Common,Common,Common,None,None,None,None,None,None,Minimal,Common,Common,Widespread,None,None,None,None,None,None,None,None,None,None
85,Angola,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Minimal,Minimal,None,None,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Common,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common
86,Namibia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,None,Common,Common,Common
87,Botswana,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Minimal,Common,Minimal,Minimal,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Widespread
88,South Africa,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common
89,South Sudan,Widespread,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
90,Eritrea and Djibouti,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,Minimal,None,Minimal,Widespread,Common,Common,Common,Common,None,None,None,None,Common,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,Common,Common,Common,Common,Common,Common
91,Ethiopia,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,None,None,None,None,None,None,Minimal,Minimal,Common,Common,None,None,Minimal,Common,Common,Common,Common,Common,Common,Common
92,"Uganda, Rwanda, and Burundi",Minimal,Minimal,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,None,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Minimal,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common
93,Kenya,Minimal,Minimal,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,None,None,None,None,None,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common
94,Somalia,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,Common,Minimal,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread
95,Tanzania,Minimal,Minimal,Minimal,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal
