Region,Label,EXPERTISE_10kbp,EXPERTISE_8kbp,EXPERTISE_6kbp,EXPERTISE_4kbp,EXPERTISE_3kbp,EXPERTISE_2kbp,EXPERTISE_1kbp,EXPERTISE_1500CE,EXPERTISE_1750CE,EXPERTISE_1850CE
98,Northwestern Kazakhstan,0.5,0.5,0.5,1,1,1.5,1,0.5,0.5,0.5
99,Western Central Asia,0,0,1,1,1,2,2,2,1,1
100,Northern Kazakhstan,0,0,2,2,2,2,2,0,0,0
101,Eastern Kazakhstan,1,1,2,2,2,2,1.5,1,1,1
102,Turan Lowland,1.5,1.5,1.5,1.5,2,2,2,1.5,1.5,1.5
103,Southeastern Central Asia,1,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5,1.5
104,Afghanistan,0.5,0.5,1,1,1,1,1,1,1,1
105,Pakistan,1,1,1.5,1.5,1.5,1.5,1.5,1,1,1
106,Himalayas,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5
107,Northern India,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1
108,Southwestern India,1,1,1,2,2,2,1.5,1.5,1.5,1.5
109,Northwestern India,0.5,1,1,1.5,1.5,1,1,1,1,1
110,Southern India,1,1,1.5,2,2,1.5,1,1,0.5,0.5
111,Eastern India and Bangladesh,0.5,0.5,0.5,2,2,2,1,1,1,1
112,Northeastern India and Bhutan,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
113,Sri Lanka,1.5,1.5,1.5,2,2,2,2,2,2,2
114,Northwestern China,0.5,0.5,1.5,1.5,1.5,1.5,1,1,1,1
115,Mongolia,1.5,1.5,1.5,1.5,2,2,1.5,1,1,1
116,Northeastern China,2,2,2,2,2,1.5,2,1,1,1
117,Korea,1.5,1.5,1.5,2,2,2,1.5,1.5,1,1
118,Tibet,2,2,2,2,2,2,2,1.5,1.5,1.5
119,North Central China,1,1.5,2,2,2,2,1.5,1,1,1
120,Northern China,1.5,1.5,2,2,2,2,1.5,1,1,1
121,South Central China,1.5,1.5,1.5,2,2,2,1.5,1,1,1
122,Southeastern China and Taiwan,1,1.5,1.5,1.5,1.5,1.5,1,1,1,1
123,Eastern China,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1
124,Japan,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1
125,Myanmar,1,1,1,1,1,1.5,2,2,1.5,1.5
126,Thailand,1,1,1,1.5,1.5,1.5,1.5,2,1,1
127,Laos,1,1,1.5,1.5,1.5,1.5,1.5,1,1,1
128,Vietnam and Cambodia,1,1,1,1.5,1.5,2,2,2,2,2
129,Peninsular Malaysia,1,1,1,1,1,2,2,2,2,2
130,Sumatra,1,2,2,2,2,2,2,1,1,1
131,Java and Timor,1,1,1,1.5,1.5,1,1.5,1.5,0.5,0.5
132,Borneo,2,2,2,1,1,1,2,2,1,1
133,Philippines,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
134,Indonesia,2,2,2,2,2,1.5,0.5,1,1,1
135,Papua New Guinea,1.5,1.5,2,2,1.5,2,1.5,1.5,1.5,1.5
136,Western Australia,1.5,1.5,2,2,2,2,2,2,1.5,1.5
137,Northern Territory Australia,2,2,2,2,2,2,2,1.5,1.5,1.5
138,South Australia,2,2,2,2,2,2,2,2,2,2
139,Queensland,2,2,2,2,2,2,2,2,2,2
140,New South Wales,2,2,2,2,2,2,2,1.5,1.5,1
141,Victoria and Tasmania,2,2,2,2,2,2,2,2,2,1.5
142,Melanesia,1,1,1,1,2,2,2,2,2,2
143,New Zealand,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1.5,1.5
144,Micronesia,2,2,2,2,2,2,2,2,2,2
145,Polynesia,0,0,0,0.5,2,2,2,2,2,2
146,Hawaii,0.5,0.5,0.5,0.5,1,1,2,2,2,2
